City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
faanui,2,PF,1619423380,66,-16.4833,-151.75,81.03,2.84
thompson,40,CA,1619423112,100,55.7435,-97.8558,23.0,3.36
bethel,1,US,1619423380,42,41.3712,-73.414,44.6,12.66
mahebourg,75,MU,1619423381,83,-20.4081,57.7,78.8,13.8
vaini,75,TO,1619423381,94,-21.2,-175.2,77.0,3.44
bredasdorp,75,ZA,1619423381,94,-34.5322,20.0403,53.6,3.44
sidi ali,17,DZ,1619423381,71,36.0998,0.4206,62.53,6.91
carnarvon,4,AU,1619423382,33,-24.8667,113.6333,87.8,9.22
ushuaia,100,AR,1619423293,91,-54.8,-68.3,41.11,3.76
lebu,8,CL,1619423382,93,-37.6167,-73.65,52.77,8.99
sumbe,75,AO,1619423382,76,-11.2061,13.8437,80.6,2.24
brae,40,GB,1619423382,93,60.3964,-1.353,44.6,4.61
berlevag,75,NO,1619423383,75,70.8578,29.0864,35.6,9.22
jati,0,PK,1619423383,15,24.3539,68.2671,103.91,10.58
albany,54,US,1619423383,56,42.6001,-73.9662,39.99,4.0
pevek,100,RU,1619423383,84,69.7008,170.3133,25.34,5.57
kavieng,95,PG,1619423383,72,-2.5744,150.7967,82.9,4.16
severo-yeniseyskiy,6,RU,1619423384,57,60.3725,93.0408,38.97,4.85
avarua,42,CK,1619423172,94,-21.2078,-159.775,73.4,1.14
yellowknife,40,CA,1619423285,72,62.456,-114.3525,3.2,10.36
russell,1,US,1619423101,87,32.3502,-85.1999,51.8,4.61
luanda,75,AO,1619423384,83,-8.8368,13.2343,82.4,2.3
karasjok,75,NO,1619423384,69,69.4719,25.5112,35.6,5.75
hithadhoo,8,MV,1619423086,66,-0.6,73.0833,82.96,4.68
noumea,40,NC,1619423384,88,-22.2763,166.4572,71.6,3.44
mataura,79,NZ,1619423385,81,-46.1927,168.8643,44.01,8.99
borba,99,BR,1619423385,98,-4.3878,-59.5939,74.16,1.92
barrow,1,US,1619423385,79,71.2906,-156.7887,17.6,13.8
necochea,0,AR,1619423385,95,-38.5473,-58.7368,53.01,0.81
gisborne,6,NZ,1619423386,63,-38.6533,178.0042,55.0,5.01
east london,0,ZA,1619423386,64,-33.0153,27.9116,69.8,2.3
atuona,100,PF,1619423386,70,-9.8,-139.0333,80.01,17.76
bluff,85,NZ,1619423386,81,-46.6,168.3333,44.01,8.99
busselton,100,AU,1619423387,56,-33.65,115.3333,73.99,5.77
nishihara,40,JP,1619423387,57,26.1842,127.7558,75.2,9.22
bixby,4,US,1619423387,77,35.942,-95.8833,63.0,3.0
praia da vitoria,75,PT,1619423387,94,38.7333,-27.0667,57.99,8.46
nikolskoye,90,RU,1619423388,93,59.7035,30.7861,41.0,11.18
port hardy,20,CA,1619423388,100,50.6996,-127.4199,46.4,3.44
severo-kurilsk,100,RU,1619423388,94,50.6789,156.125,30.61,16.24
qaanaaq,52,GL,1619423388,63,77.484,-69.3632,30.04,9.98
saint-francois,0,FR,1619423388,54,46.4154,3.9054,55.0,9.22
ribeira grande,40,PT,1619423389,77,38.5167,-28.7,59.0,8.05
butaritari,8,KI,1619423389,76,3.0707,172.7902,82.49,13.44
quatre cocos,75,MU,1619423389,83,-20.2078,57.7625,80.01,13.8
leh,0,IN,1619423157,24,34.1667,77.5833,45.3,2.48
guerrero negro,100,MX,1619423389,83,27.9769,-114.0611,57.54,9.66
kentau,7,KZ,1619423390,16,43.5206,68.5094,74.34,10.42
sinnamary,100,GF,1619423390,90,5.3833,-52.95,76.6,9.08
okha,5,RU,1619423390,63,53.5739,142.9478,31.33,5.82
jamestown,90,US,1619423390,86,42.097,-79.2353,30.99,6.91
yulara,0,AU,1619423391,18,-25.2406,130.9889,78.8,13.8
ashqelon,56,IL,1619423391,42,31.6693,34.5715,71.01,4.0
iquique,0,CL,1619423391,72,-20.2208,-70.1431,59.0,3.44
dongsheng,100,CN,1619423391,14,39.8161,109.9776,49.26,28.1
clyde river,90,CA,1619423391,93,70.4692,-68.5914,23.0,2.3
popondetta,100,PG,1619423392,89,-8.7537,148.2534,75.74,1.77
talnakh,100,RU,1619423392,85,69.4865,88.3972,14.88,10.02
dicabisagan,91,PH,1619423392,83,17.0818,122.4157,76.77,8.7
cidreira,68,BR,1619423392,77,-30.1811,-50.2056,61.79,15.93
khatanga,92,RU,1619423393,86,71.9667,102.5,17.92,15.46
rikitea,9,PF,1619423393,77,-23.1203,-134.9692,77.14,8.21
mayumba,95,GA,1619423393,79,-3.432,10.6554,81.36,2.06
provideniya,74,RU,1619423393,94,64.3833,-173.3,32.65,1.01
san luis,0,AR,1619423394,70,-33.295,-66.3356,55.58,8.1
bilibino,100,RU,1619423394,90,68.0546,166.4372,20.46,3.87
vila velha,0,BR,1619423394,83,-20.3297,-40.2925,75.2,8.05
victoria,100,HK,1619423155,77,22.2855,114.1577,77.0,5.01
yuzhou,47,CN,1619423394,53,34.1628,113.4639,71.6,4.47
hobart,20,AU,1619423131,51,-42.8794,147.3294,59.0,10.36
lagoa,100,PT,1619423395,85,39.05,-27.9833,58.82,6.6
san quintin,21,MX,1619423395,86,30.4833,-115.95,56.16,8.63
saldanha,2,ZA,1619423395,94,-33.0117,17.9442,59.0,6.91
linqiong,75,CN,1619423395,50,30.4159,103.4609,81.0,4.47
pacific grove,38,US,1619423396,89,36.6177,-121.9166,50.0,7.07
luderitz,100,NA,1619423396,71,-26.6481,15.1594,66.45,3.22
punta arenas,90,CL,1619423396,93,-53.15,-70.9167,42.8,9.22
bagotville,40,AU,1619423396,64,-28.9833,153.4167,69.8,6.91
jianhu,0,CN,1619423396,57,29.9799,120.5712,75.2,13.42
karpathos,20,GR,1619423397,68,35.507,27.2132,64.4,41.43
port elizabeth,0,ZA,1619423170,77,-33.918,25.5701,68.0,3.44
rio branco,75,BR,1619423397,100,-9.9747,-67.81,71.6,2.3
puerto ayora,7,EC,1619423397,91,-0.7393,-90.3518,73.72,4.88
sitka,1,US,1619423397,53,57.0531,-135.33,46.4,5.75
igra,100,RU,1619423171,82,57.5558,53.0547,39.61,16.4
yankton,1,US,1619423398,67,42.8711,-97.3973,60.8,10.36
yumbe,95,UG,1619423398,67,3.4651,31.2469,75.16,4.36
cayenne,90,GF,1619423398,94,4.9333,-52.3333,79.0,3.44
kimbe,31,PG,1619423398,81,-5.5502,150.1429,79.93,1.99
yerbogachen,100,RU,1619423399,61,61.2767,108.0108,26.65,14.23
port alfred,100,ZA,1619423399,40,-33.5906,26.891,79.92,9.15
cape town,20,ZA,1619423399,82,-33.9258,18.4232,64.0,14.97
bambous virieux,75,MU,1619423400,83,-20.3428,57.7575,80.01,13.8
adrar,52,MR,1619423400,22,20.5022,-10.0711,78.4,9.4
tessalit,7,ML,1619423400,7,20.1986,1.0114,92.26,11.05
axim,93,GH,1619423400,76,4.8699,-2.2405,83.64,3.42
cochrane,90,CA,1619423112,100,51.1834,-114.4687,30.0,2.3
buala,38,SB,1619423401,77,-8.145,159.5921,82.22,3.36
tuktoyaktuk,44,CA,1619423401,97,69.4541,-133.0374,0.0,8.72
buraydah,0,SA,1619423401,35,26.326,43.975,87.8,11.5
new norfolk,98,AU,1619423401,74,-42.7826,147.0587,57.0,1.99
naze,75,JP,1619423402,73,28.3667,129.4833,71.6,17.27
vao,53,NC,1619423402,71,-22.6667,167.4833,73.85,19.22
kanniyakumari,74,IN,1619423402,66,8.0833,77.5667,86.94,13.62
ust-kulom,100,RU,1619423402,66,61.6864,53.6902,39.92,6.31
poum,42,NC,1619423403,68,-20.2333,164.0167,77.04,25.03
kodiak,1,US,1619423403,75,57.79,-152.4072,42.8,6.91
rio gallegos,40,AR,1619423403,66,-51.6226,-69.2181,46.4,5.75
cockburn town,43,TC,1619423403,74,21.4612,-71.1419,78.13,17.07
nemuro,20,JP,1619423404,26,43.3236,145.575,41.0,10.36
margate,28,GB,1619423404,63,51.3813,1.3862,44.01,4.0
souillac,75,MU,1619423404,83,-20.5167,57.5167,78.8,13.8
houma,1,US,1619423404,94,29.5958,-90.7195,59.0,1.21
constitucion,0,CL,1619423405,74,-35.3333,-72.4167,55.36,6.82
torbay,40,CA,1619423405,53,47.6666,-52.7314,44.6,17.27
eureka,90,US,1619423405,93,40.8021,-124.1637,46.99,4.61
ponta do sol,31,PT,1619423405,78,32.6667,-17.1,59.0,1.99
opuwo,2,NA,1619423405,34,-18.0607,13.84,76.21,10.69
iqaluit,90,CA,1619423406,93,63.7506,-68.5145,32.0,1.48
mehamn,75,NO,1619423406,75,71.0357,27.8492,35.6,9.22
kapaa,90,US,1619423406,78,22.0752,-159.319,73.4,13.8
airai,3,TL,1619423406,56,-8.9266,125.4092,68.05,2.48
sulangan,11,PH,1619423407,70,11.1373,123.7228,82.87,12.84
hermanus,0,ZA,1619423407,76,-34.4187,19.2345,64.99,10.0
klaksvik,100,FO,1619423407,87,62.2266,-6.589,44.6,11.5
sassandra,92,CI,1619423407,79,4.95,-6.0833,79.14,4.43
coquimbo,90,CL,1619423408,87,-29.9533,-71.3436,53.6,5.75
cherskiy,55,RU,1619423408,85,68.75,161.3,16.7,3.02
ostrovnoy,100,RU,1619423408,90,68.0531,39.5131,31.6,23.02
longyearbyen,20,SJ,1619423408,62,78.2186,15.6401,15.8,4.61
mar del plata,0,AR,1619423329,77,-38.0023,-57.5575,60.01,1.01
doha,94,QA,1619423408,17,25.2867,51.5333,102.2,9.22
sechura,95,PE,1619423409,78,-5.5569,-80.8222,69.1,13.06
takanosu,20,JP,1619423409,25,40.2219,140.3694,51.8,13.8
ampanihy,0,MG,1619423409,33,-24.7,44.75,90.82,6.13
kempele,90,FI,1619423409,60,64.9131,25.5034,37.4,12.66
umm lajj,0,SA,1619423410,44,25.0213,37.2685,86.45,12.71
monrovia,40,LR,1619423410,94,6.3005,-10.7969,77.0,4.94
comodoro rivadavia,0,AR,1619423410,62,-45.8667,-67.5,55.4,4.61
urengoy,100,RU,1619423410,100,65.9667,78.3667,32.36,14.7
hilo,90,US,1619423411,83,19.7297,-155.09,71.6,5.75
westport,17,US,1619423411,57,41.1415,-73.3579,45.0,3.0
sinnai,20,IT,1619423411,72,39.3042,9.2036,64.4,17.27
ust-nera,100,RU,1619423411,84,64.5667,143.2,23.25,4.72
guilin,90,CN,1619423412,73,25.2819,110.2864,68.0,4.47
ancud,90,CL,1619423412,100,-41.8697,-73.8203,52.0,4.61
havre-saint-pierre,90,CA,1619423412,87,50.2334,-63.5986,37.4,12.66
ilulissat,90,GL,1619423412,43,69.2167,-51.1,48.2,21.85
asau,88,RO,1619423412,64,46.4333,26.4,37.99,1.45
sandy bay,20,AU,1619423413,51,-42.913,147.3532,59.0,10.36
tasiilaq,75,GL,1619423413,70,65.6145,-37.6368,39.2,17.27
barra do garcas,100,BR,1619423413,61,-15.89,-52.2567,69.19,3.8
makokou,7,GA,1619423413,67,0.5738,12.8642,82.38,1.72
bobcaygeon,75,CA,1619423414,64,44.5462,-78.542,30.2,12.66
nakhodka,87,RU,1619423414,50,42.8333,132.8947,46.18,6.4
chicama,21,PE,1619423414,85,-7.8447,-79.1469,66.65,4.5
blackwater,0,AU,1619423414,34,-23.5833,148.8833,71.69,7.0
yenagoa,88,NG,1619423415,68,4.9247,6.2642,85.14,4.54
impfondo,94,CG,1619423415,64,1.6381,18.0667,82.13,4.81
castro,15,BR,1619423415,96,-24.7911,-50.0119,53.4,2.8
marrakesh,20,MA,1619423415,67,31.6315,-8.0083,62.6,3.44
raudeberg,0,NO,1619423416,45,61.9875,5.1352,42.8,8.05
georgetown,40,MY,1619423416,70,5.4112,100.3354,89.6,10.36
maceio,40,BR,1619423416,94,-9.6658,-35.7353,73.4,2.3
le port,75,RE,1619423191,69,-20.9373,55.2919,80.6,18.41
ratholo,0,BW,1619423416,20,-22.7245,27.572,75.72,7.29
upernavik,100,GL,1619423417,76,72.7868,-56.1549,30.7,3.15
touros,0,BR,1619423417,100,-5.1989,-35.4608,73.4,4.61
tahoua,0,NE,1619423417,31,14.8888,5.2692,89.6,6.91
norman wells,40,CA,1619423417,54,65.282,-126.8329,23.0,2.3
hofn,20,IS,1619423417,65,64.2539,-15.2082,42.8,11.5
marzuq,12,YE,1619423418,30,14.4,46.4667,86.22,1.88
yichang,100,CN,1619423418,73,30.7144,111.2847,64.72,2.44
amalapuram,20,IN,1619423418,49,16.5833,82.0167,95.0,6.91
barda,75,AZ,1619423418,59,40.3744,47.1267,66.2,3.44
tucupita,100,VE,1619423419,95,9.0622,-62.051,70.68,3.22
dikson,100,RU,1619423419,94,73.5069,80.5464,24.94,21.7
sao borja,0,BR,1619423419,76,-28.6606,-56.0044,51.21,5.48
boca do acre,100,BR,1619423419,98,-8.7522,-67.3978,72.18,3.58
krasnoselkup,20,RU,1619423420,88,65.7,82.4667,30.65,12.08
udalguri,6,IN,1619423420,13,26.7667,92.1333,103.3,8.86
weston,1,US,1619423420,88,26.1004,-80.3998,75.2,5.75
tiksi,100,RU,1619423420,95,71.6872,128.8694,22.77,13.6
dingle,64,PH,1619423421,65,10.9995,122.6711,84.52,9.46
kaihua,100,CN,1619423421,80,23.3687,104.28,71.06,10.98
te anau,79,NZ,1619423421,82,-45.4167,167.7167,40.1,3.76
portland,90,US,1619423303,76,45.5234,-122.6762,50.0,3.02
rio grande,93,BR,1619423421,93,-32.035,-52.0986,57.99,1.99
evanston,90,US,1619423422,49,42.0411,-87.6901,42.8,11.5
togur,100,RU,1619423422,78,58.3631,82.8265,48.65,8.39
haines junction,0,CA,1619423422,60,60.7522,-137.5108,33.8,1.14
chokurdakh,99,RU,1619423422,95,70.6333,147.9167,29.26,5.17
kaitangata,36,NZ,1619423422,62,-46.2817,169.8464,45.0,5.99
middelburg,17,ZA,1619423423,15,-25.7751,29.4648,69.93,6.06
leningradskiy,18,RU,1619423423,96,69.3833,178.4167,18.64,2.91
esperance,43,AU,1619423423,47,-33.8667,121.9,77.0,11.5
anadyr,75,RU,1619423423,100,64.75,177.4833,24.8,6.71
egvekinot,88,RU,1619423424,91,66.3167,-179.1667,18.25,5.14
warah,0,PK,1619423424,8,27.4481,67.7978,108.82,3.33
bubaque,10,GW,1619423424,62,11.2833,-15.8333,77.32,9.1
saint george,1,US,1619423381,18,37.1041,-113.5841,69.8,23.02
pangnirtung,100,CA,1619423424,79,66.1451,-65.7125,29.07,7.09
rosario,0,AR,1619423186,87,-32.9468,-60.6393,54.0,1.5
aklavik,100,CA,1619423425,85,68.2191,-135.0107,12.2,6.91
portree,100,GB,1619423425,84,57.4129,-6.1942,48.0,14.0
shaping,100,CN,1619423425,85,22.7545,112.9565,75.0,1.99
port lincoln,0,AU,1619423425,72,-34.7333,135.8667,62.46,9.73
gorontalo,58,ID,1619423426,71,0.5412,123.0595,84.67,4.21
husavik,90,IS,1619423426,80,66.0449,-17.3389,35.6,5.75
coihaique,67,CL,1619423176,97,-45.5752,-72.0662,43.77,5.99
banska bystrica,40,SK,1619423426,42,48.5,19.5,44.6,2.3
chirongui,40,YT,1619423426,70,-12.9319,45.1483,86.0,4.61
auki,74,SB,1619423427,84,-8.7676,160.7034,79.86,3.44
trelew,96,AR,1619423427,58,-43.249,-65.3051,56.75,8.84
katsuura,20,JP,1619423427,29,35.1333,140.3,64.4,13.8
halifax,100,CA,1619423427,100,44.6453,-63.5724,48.0,14.97
nome,20,US,1619423428,60,64.5011,-165.4064,41.0,10.36
shelburne,53,CA,1619423428,74,44.0787,-80.2041,32.0,7.45
kruisfontein,100,ZA,1619423428,32,-34.0033,24.7314,77.79,2.19
san patricio,75,US,1619423428,94,28.017,-97.5169,70.0,9.22
mrakovo,100,RU,1619423429,38,52.7161,56.6244,49.59,7.45
gazanjyk,0,TM,1619423429,20,39.2446,55.5154,89.56,3.04
plouzane,20,FR,1619423392,76,48.3833,-4.6167,50.0,26.46
hamilton,1,US,1619423429,93,39.1834,-84.5333,44.01,3.04
briancon,100,FR,1619423429,85,44.9,6.65,53.01,1.01
mogzon,100,RU,1619423430,94,51.7435,111.9606,35.01,17.81
latung,94,PH,1619423430,69,5.5,120.8833,83.95,8.03
onega,100,RU,1619423430,94,63.9061,38.1404,35.55,11.12
setermoen,75,NO,1619423430,75,68.861,18.3486,35.6,10.36
ostersund,0,SE,1619423430,55,63.1792,14.6357,37.0,8.05
boyolangu,35,ID,1619423431,72,-8.1181,111.8935,83.17,9.19
blagoyevo,100,RU,1619423431,72,63.3667,47.9167,43.77,2.48
borovichi,100,RU,1619423431,95,58.3878,33.9155,35.53,11.21
encheng,100,CN,1619423431,94,22.1839,112.3026,71.29,6.76
nehe,100,CN,1619423432,18,48.4833,124.8333,67.03,18.19
port-gentil,40,GA,1619423432,84,-0.7193,8.7815,84.2,5.75
toguchin,100,RU,1619423432,40,55.2353,84.3858,53.51,11.23
bronnoysund,75,NO,1619423432,81,65.4625,12.1997,37.4,1.14
vitoria do mearim,53,BR,1619423418,98,-3.4622,-44.8706,72.25,2.1
grevena,20,GR,1619423433,76,40.0845,21.4274,63.0,1.77
aosta,100,IT,1619423433,87,45.7667,7.4167,50.0,1.25
avera,1,US,1619423433,73,33.194,-82.5271,55.4,3.44
hope,50,US,1619423433,83,33.6671,-93.5916,57.99,5.66
xichang,9,CN,1619423434,22,27.8964,102.2634,83.53,5.57
colac,99,AU,1619423434,1,-38.3333,143.5833,55.99,5.44
trinidad,100,BO,1619423434,94,-14.8333,-64.9,65.5,5.61
machalpur,0,IN,1619423434,5,24.1333,76.3,102.45,8.5
teknaf,0,BD,1619423435,61,20.8624,92.3058,89.04,13.82
nieuw amsterdam,81,SR,1619423435,96,5.8833,-55.0833,75.99,1.01
kamyshla,45,RU,1619423435,45,54.1169,52.1426,50.11,19.73
yumen,0,CN,1619423435,11,40.2833,97.2,58.82,26.96
chuy,90,UY,1619423436,76,-33.6971,-53.4616,59.47,8.37
chumikan,100,RU,1619423436,88,54.7183,135.315,38.86,5.37
nelson bay,20,AU,1619423436,72,-32.7167,152.15,64.4,5.75
mombetsu,20,JP,1619423436,70,44.3525,143.3525,39.2,11.5
deputatskiy,88,RU,1619423437,89,69.3,139.9,26.83,2.57
itoman,40,JP,1619423437,57,26.1247,127.6694,75.2,9.22
lima,20,PE,1619423216,88,-12.0432,-77.0282,64.0,2.3
terney,10,RU,1619423437,44,45.0503,136.6092,49.93,8.68
saulkrasti,75,LV,1619423437,75,57.2622,24.4147,39.2,8.05
alta floresta,100,BR,1619423438,98,-9.8756,-56.0861,69.49,3.31
kavaratti,1,IN,1619423438,68,10.5669,72.642,84.88,6.04
namtsy,40,RU,1619423438,53,62.7161,129.6658,44.6,6.71
palmer,1,US,1619423438,56,42.1584,-72.3287,42.8,16.11
pineville,1,US,1619423439,77,31.3224,-92.4343,60.8,5.08
alugan,10,PH,1619423439,68,12.2188,125.4808,80.83,10.87
seoul,0,KR,1619423020,48,37.5683,126.9778,69.8,13.8
kutum,81,SD,1619423439,7,14.2,24.6667,87.04,16.78
vila,88,PT,1619423439,95,42.0304,-8.1588,53.01,0.36
pangody,93,RU,1619423440,99,65.85,74.4859,33.66,17.83
hokitika,96,NZ,1619423440,82,-42.7167,170.9667,55.02,14.41
qaqortoq,75,GL,1619423440,40,60.7167,-46.0333,48.2,27.63
iquitos,0,PE,1619423440,94,-3.7481,-73.2472,77.0,2.3
constantine,0,DZ,1619423440,59,36.365,6.6147,60.8,5.75
santiago,0,CL,1619423188,81,-33.4569,-70.6483,63.0,1.01
gazojak,0,TM,1619423441,6,41.1875,61.4036,87.12,14.97
igunga,46,TZ,1619423441,65,-4.2833,33.8833,76.05,3.71
jalu,0,LY,1619423441,43,29.0331,21.5482,69.51,6.91
sampit,91,ID,1619423441,78,-2.5333,112.95,83.64,1.32
skibbereen,20,IE,1619423442,76,51.55,-9.2667,44.6,6.91
san rafael,0,AR,1619423438,60,-34.6177,-68.3301,56.61,5.46
fortuna,90,US,1619423442,100,40.5982,-124.1573,46.99,4.14
san pedro,75,PH,1619423442,62,14.35,121.0167,86.0,9.22
akyab,0,MM,1619423442,67,20.15,92.9,86.79,16.33
misratah,79,LY,1619423443,60,32.3754,15.0925,67.12,16.17
voi,53,KE,1619423443,47,-3.3945,38.563,85.8,6.24
cabedelo,40,BR,1619423443,100,-6.9811,-34.8339,73.4,3.44
tarancon,100,ES,1619423443,96,40.0085,-3.0073,53.01,8.01
mae sai,20,TH,1619423444,51,20.4335,99.8762,86.0,4.61
nyurba,100,RU,1619423444,85,63.2842,118.3319,26.83,10.42
